path_in_rawtiffs,old_row_filename,location,date,new_row_filename,reason
web.archive.org_web_20251223183844_aeronav.faa.gov_visual_11-27-2025_PDFs_Anchorage.tif,web.archive.org_web_20251223183844_aeronav.faa.gov_visual_11-27-2025_PDFs_Anchorage.tif,Anchorage,2025-11-27,acasis_sec_11-27-2025_Anchorage.zip,superseded by FAA original
web.archive.org_web_20251223184122_aeronav.faa.gov_visual_11-27-2025_PDFs_Washington.tif,web.archive.org_web_20251223184122_aeronav.faa.gov_visual_11-27-2025_PDFs_Washington.tif,Washington,2025-11-27,acasis_sec_11-27-2025_Washington.zip,superseded by FAA original
web.archive.org_web_20251223185055_aeronav.faa.gov_visual_11-27-2025_PDFs_Atlanta.tif,web.archive.org_web_20251223185055_aeronav.faa.gov_visual_11-27-2025_PDFs_Atlanta.tif,Atlanta,2025-11-27,acasis_sec_11-27-2025_Atlanta.zip,superseded by FAA original
web.archive.org_web_20251223190019_aeronav.faa.gov_visual_11-27-2025_PDFs_Wichita.tif,web.archive.org_web_20251223190019_aeronav.faa.gov_visual_11-27-2025_PDFs_Wichita.tif,Wichita,2025-11-27,acasis_sec_11-27-2025_Wichita.zip,superseded by FAA original
web.archive.org_web_20251223190809_aeronav.faa.gov_visual_11-27-2025_PDFs_Billings.tif,web.archive.org_web_20251223190809_aeronav.faa.gov_visual_11-27-2025_PDFs_Billings.tif,Billings,2025-11-27,acasis_sec_11-27-2025_Billings.zip,superseded by FAA original
web.archive.org_web_20251223191102_aeronav.faa.gov_visual_11-27-2025_PDFs_Cheyenne.tif,web.archive.org_web_20251223191102_aeronav.faa.gov_visual_11-27-2025_PDFs_Cheyenne.tif,Cheyenne,2025-11-27,acasis_sec_11-27-2025_Cheyenne.zip,superseded by FAA original
web.archive.org_web_20251223191838_aeronav.faa.gov_visual_11-27-2025_PDFs_El_Paso.tif,web.archive.org_web_20251223191838_aeronav.faa.gov_visual_11-27-2025_PDFs_El_Paso.tif,El Paso,2025-11-27,acasis_sec_11-27-2025_El_Paso.zip,superseded by FAA original
web.archive.org_web_20251223193344_aeronav.faa.gov_visual_11-27-2025_PDFs_Fairbanks.tif,web.archive.org_web_20251223193344_aeronav.faa.gov_visual_11-27-2025_PDFs_Fairbanks.tif,Fairbanks,2025-11-27,acasis_sec_11-27-2025_Fairbanks.zip,superseded by FAA original
web.archive.org_web_20251223193346_aeronav.faa.gov_visual_11-27-2025_PDFs_Twin_Cities.tif,web.archive.org_web_20251223193346_aeronav.faa.gov_visual_11-27-2025_PDFs_Twin_Cities.tif,Twin Cities,2025-11-27,acasis_sec_11-27-2025_Twin_Cities.zip,superseded by FAA original
web.archive.org_web_20251223193436_aeronav.faa.gov_visual_11-27-2025_PDFs_Phoenix.tif,web.archive.org_web_20251223193436_aeronav.faa.gov_visual_11-27-2025_PDFs_Phoenix.tif,Phoenix,2025-11-27,acasis_sec_11-27-2025_Phoenix.zip,superseded by FAA original
web.archive.org_web_20251223194502_aeronav.faa.gov_visual_11-27-2025_PDFs_New_York.tif,web.archive.org_web_20251223194502_aeronav.faa.gov_visual_11-27-2025_PDFs_New_York.tif,New York,2025-11-27,acasis_sec_11-27-2025_New_York.zip,superseded by FAA original
web.archive.org_web_20251223195248_aeronav.faa.gov_visual_11-27-2025_PDFs_Las_Vegas.tif,web.archive.org_web_20251223195248_aeronav.faa.gov_visual_11-27-2025_PDFs_Las_Vegas.tif,Las Vegas,2025-11-27,acasis_sec_11-27-2025_Las_Vegas.zip,superseded by FAA original
web.archive.org_web_20251223204425_aeronav.faa.gov_visual_11-27-2025_PDFs_Los_Angeles.tif,web.archive.org_web_20251223204425_aeronav.faa.gov_visual_11-27-2025_PDFs_Los_Angeles.tif,Los Angeles,2025-11-27,acasis_sec_11-27-2025_Los_Angeles.zip,superseded by FAA original
web.archive.org_web_20251223210256_aeronav.faa.gov_visual_11-27-2025_PDFs_Bethel.tif,web.archive.org_web_20251223210256_aeronav.faa.gov_visual_11-27-2025_PDFs_Bethel.tif,Bethel,2025-11-27,acasis_sec_11-27-2025_Bethel.zip,superseded by FAA original
web.archive.org_web_20251223213641_aeronav.faa.gov_visual_11-27-2025_PDFs_Nome.tif,web.archive.org_web_20251223213641_aeronav.faa.gov_visual_11-27-2025_PDFs_Nome.tif,Nome,2025-11-27,acasis_sec_11-27-2025_Nome.zip,superseded by FAA original
